Company Name,Website,Location,About,Founded Year,Industry,Is Government Institute,Is a private company,Is a research institution,"Is a medical center (e.g., hospital or clinic)"
KYOCERA CORP,www.kyocera.com,"Kyoto, Japan","Kyocera Corp is a global company specializing in electronic components, ceramics, and solar energy solutions.",1959,Electronics & Ceramics,No,Yes,No,No
KYOCERA DOCUMENT SOLUTIONS INC,www.kyoceradocumentsolutions.com,[Not Available],Kyocera Document Solutions Inc provides document management solutions including printers and multifunction devices.,[Not Available],Document Solutions,No,Yes,No,No
KYON BIOTECH AG,[Not Available],[Not Available],Kyon Biotech AG specializes in developing innovative biotechnology products and solutions.,[Not Available],Biotechnology,No,Yes,Yes,No
KYORIN PHARM CO LTD,www.kyorin-pharm.co.jp,"Tokyo, Japan","Kyorin Pharmaceutical Co Ltd is a pharmaceutical company focusing on research, development, and marketing of drugs.",1923,Pharmaceuticals,No,Yes,Yes,No
KYORIN PHARMACY KK,[Not Available],[Not Available],Kyorin Pharmacy KK operates pharmacies and provides pharmaceutical services.,[Not Available],Pharmaceuticals & Retail,No,Yes,No,No
KYORIN SEIYAKU KK,[Not Available],[Not Available],Kyorin Seiyaku KK focuses on the manufacture and sale of pharmaceuticals.,[Not Available],Pharmaceuticals,No,Yes,No,No
KYORITSU DENKI SANGYO KK,[Not Available],[Not Available],Kyoritsu Denki Sangyo KK is involved in the distribution and manufacturing of electrical and electronic products.,[Not Available],Electrical & Electronics,No,Yes,No,No
KYPHA INC,[Not Available],[Not Available],Kypha Inc specializes in developing diagnostic and therapeutic solutions for immune-mediated diseases.,[Not Available],Biotechnology,No,Yes,Yes,No
KYUNG NAM PHARM CO LTD,[Not Available],[Not Available],"Kyung Nam Pharm Co Ltd is involved in the pharmaceutical industry, focusing on drug development and sales.",[Not Available],Pharmaceuticals,No,Yes,No,No
KYUSHU SEIHONCOM KK,[Not Available],[Not Available],Kyushu Seihoncom KK focuses on manufacturing and distributing various industrial products.,[Not Available],Manufacturing,No,Yes,No,No
L K TRUST,[Not Available],[Not Available],L K Trust is involved in investment and financial management services.,[Not Available],Finance & Investment,No,Yes,No,No
LA JOLLA IMMUNOLOGY INST,[Not Available],[Not Available],La Jolla Immunology Institute is focused on immunology research and developing treatments for immune disorders.,[Not Available],Immunology & Biotechnology,No,Yes,Yes,No
LAB ALPHARMA SA DE CV,[Not Available],[Not Available],Lab Alpharma SA de CV is involved in pharmaceutical development and manufacturing.,[Not Available],Pharmaceuticals,No,Yes,No,No
LAB ANOUAL,[Not Available],[Not Available],Lab Anoual specializes in pharmaceutical products and services.,[Not Available],Pharmaceuticals,No,Yes,No,No
LAB AVI-MEX SA & CV,[Not Available],[Not Available],Lab Avi-Mex SA & CV focuses on the development and distribution of pharmaceutical products.,[Not Available],Pharmaceuticals,No,Yes,No,No
LAB CORP AMERICA HOLDINGS,[Not Available],[Not Available],Lab Corp America Holdings provides laboratory testing services and diagnostic solutions.,[Not Available],Diagnostics & Laboratory Testing,No,Yes,No,No
LAB HIPRA SA,www.hipra.com,[Not Available],Lab Hipra SA specializes in veterinary pharmaceuticals and vaccines.,[Not Available],Veterinary Pharmaceuticals,No,Yes,No,No
LAB MIRET SA,[Not Available],[Not Available],Lab Miret SA focuses on pharmaceutical manufacturing and distribution.,[Not Available],Pharmaceuticals,No,Yes,No,No
LAB PABLO CASSARA SRL,[Not Available],[Not Available],Lab Pablo Cassara SRL is involved in pharmaceutical research and development.,[Not Available],Pharmaceuticals,No,Yes,No,No
LABRADOR DIAGNOSTICS LLC,[Not Available],[Not Available],Labrador Diagnostics LLC specializes in diagnostic technologies and solutions.,[Not Available],Diagnostics,No,Yes,No,No
LABSIMPLY INC,[Not Available],[Not Available],LabSimply Inc provides laboratory automation and management solutions.,[Not Available],Laboratory Automation,No,Yes,No,No
LABWARE HOLDINGS INC,www.labware.com,[Not Available],LabWare Holdings Inc offers laboratory information management systems (LIMS) and laboratory automation solutions.,[Not Available],Laboratory Information Management Systems,No,Yes,No,No
LACRISCIENCES LLC,[Not Available],[Not Available],LacriSciences LLC focuses on developing treatments for ocular and related diseases.,[Not Available],Biotechnology,No,Yes,Yes,No
LACTEA THERAPEUTICS LLC,[Not Available],[Not Available],Lactea Therapeutics LLC specializes in therapeutic solutions and treatments.,[Not Available],Therapeutics,No,Yes,No,No
LACTOMASON CO LTD,[Not Available],[Not Available],Lactomason Co Ltd is involved in the production of lactation-related products.,[Not Available],Lactation Products,No,Yes,No,No
LAIMO BEIJING PHARM TECHNOLOGY CO LTD,[Not Available],"Beijing, China",Laimo Beijing Pharm Technology Co Ltd focuses on pharmaceutical technology and development.,[Not Available],Pharmaceuticals,No,Yes,Yes,No
LAKEPHARMA INC,www.lakepharma.com,[Not Available],"LakePharma Inc provides custom antibody and protein production services, along with other drug development services.",[Not Available],Biotechnology,No,Yes,Yes,No
LALA KK,[Not Available],[Not Available],Lala KK is involved in the manufacturing and distribution of various products.,[Not Available],Manufacturing,No,Yes,No,No
LAM THERAPEUTICS INC,[Not Available],[Not Available],Lam Therapeutics Inc focuses on developing new therapeutic approaches for various diseases.,[Not Available],Therapeutics,No,Yes,Yes,No
LAMA FRANCE,[Not Available],France,Lama France specializes in pharmaceutical and biotechnology products.,[Not Available],Pharmaceuticals & Biotechnology,No,Yes,No,No
LANARKSHIRE GLOBAL LLC,[Not Available],[Not Available],Lanarkshire Global LLC is involved in global investments and business development.,[Not Available],Investment & Business Development,No,Yes,No,No
LANDOVER INC,[Not Available],[Not Available],Landover Inc operates in various sectors including investment and business management.,[Not Available],Business Management,No,Yes,No,No
LANEG GMBH,[Not Available],[Not Available],Laneg GmbH specializes in technology and innovation solutions.,[Not Available],Technology & Innovation,No,Yes,No,No
LANGFANG NUODAO ZHONGKE MEDICAL TEST LAB,[Not Available],"Langfang, China",Langfang Nuodao Zhongke Medical Test Lab provides medical testing and diagnostic services.,[Not Available],Medical Testing & Diagnostics,No,Yes,No,No
LANGHEIN GMBH,[Not Available],[Not Available],Langhein GmbH focuses on technology development and consulting services.,[Not Available],Technology & Consulting,No,Yes,No,No
LANIER BIOTHERAPEUTICS INC,[Not Available],[Not Available],Lanier Biotherapeutics Inc is involved in the development of biotherapeutic products.,[Not Available],Biotechnology,No,Yes,Yes,No
LANKENAU INST MEDICAL RES,www.lankenau.org,"Wynnewood, PA, USA",Lankenau Institute for Medical Research focuses on biomedical research to advance medical knowledge and improve patient care.,[Not Available],Medical Research,No,Yes,Yes,No
LANKOM PHARM CRANETESETES PHARM LAB CO,[Not Available],[Not Available],Lankom Pharm specializes in pharmaceutical research and laboratory services.,[Not Available],Pharmaceuticals & Laboratory Services,No,Yes,No,No
LANZATECH INC,www.lanzatech.com,"Skokie, IL, USA",Lanzatech Inc focuses on transforming industrial waste gases into valuable fuels and chemicals using biotechnology.,2005,Biotechnology & Sustainable Chemicals,No,Yes,Yes,No
LANZHOU VETERINARY RES INST CHINA AGRIC,[Not Available],"Lanzhou, China",Lanzhou Veterinary Research Institute focuses on veterinary science and research related to animal health and agriculture.,[Not Available],Veterinary Research,Yes,No,Yes,No
LANZHOU YAHUA BIOTECHNOLOGY CO LTD,[Not Available],"Lanzhou, China",Lanzhou Yahua Biotechnology Co Ltd specializes in biotechnology research and development.,[Not Available],Biotechnology,No,Yes,Yes,No
LARIX BIOSCI LLC,[Not Available],[Not Available],Larix Biosci LLC focuses on the development of bioscience technologies and products.,[Not Available],Biosciences,No,Yes,Yes,No
LASSEN THERAPEUTICS 1 INC,[Not Available],[Not Available],Lassen Therapeutics 1 Inc is involved in developing therapeutic solutions for various medical conditions.,[Not Available],Therapeutics,No,Yes,Yes,No
LATERAL IP PTY LTD,[Not Available],[Not Available],Lateral IP Pty Ltd specializes in intellectual property management and consulting.,[Not Available],Intellectual Property,No,Yes,No,No
LAURENT PHARM INC,[Not Available],[Not Available],Laurent Pharm Inc focuses on pharmaceutical research and development.,[Not Available],Pharmaceuticals,No,Yes,Yes,No
LAURUS LABS LTD,www.lauruslabs.com,"Hyderabad, India",Laurus Labs Ltd is involved in the development and manufacturing of pharmaceutical products and active pharmaceutical ingredients (APIs).,2005,Pharmaceuticals,No,Yes,No,No
LAVM LLC,[Not Available],[Not Available],Lavm LLC is involved in various sectors including technology and investment.,[Not Available],Technology & Investment,No,Yes,No,No
LAWRENCE LIVERMORE NAT SECURITY LLC,www.llnl.gov,"Livermore, CA, USA","Lawrence Livermore National Security LLC operates Lawrence Livermore National Laboratory, focusing on national security, science, and engineering research.",1952,National Security & Research,Yes,No,Yes,No
LAY SCI INC,[Not Available],[Not Available],Lay Sci Inc focuses on scientific research and technology development.,[Not Available],Scientific Research,No,Yes,Yes,No
LBL BIOTECHNOLOGY INC,[Not Available],[Not Available],LBL Biotechnology Inc specializes in biotechnological advancements and products.,[Not Available],Biotechnology,No,Yes,Yes,No
LBM MASCH & ANLAGENBAUGESELLSCHAFT MBH,[Not Available],[Not Available],LBM Masch & Anlagenbaugesellschaft mbH focuses on machinery and equipment for industrial applications.,[Not Available],Machinery & Equipment,No,Yes,No,No
LEAD HIGH TECHNOLOGY QINGDAO CO LTD,[Not Available],"Qingdao, China",Lead High Technology Qingdao Co Ltd specializes in high-tech products and solutions.,[Not Available],Technology,No,Yes,No,No
LEAD HORIZON GMBH,[Not Available],[Not Available],Lead Horizon GmbH focuses on technology and innovation in various sectors.,[Not Available],Technology & Innovation,No,Yes,No,No
LEADWAY HK LTD,[Not Available],Hong Kong,Leadway HK Ltd specializes in technology solutions and business services.,[Not Available],Technology & Business Services,No,Yes,No,No
LEAF HEALTHCARE INC,www.leafhealthcare.com,"Durham, NC, USA",Leaf Healthcare Inc develops innovative solutions for patient monitoring and healthcare.,[Not Available],Healthcare Technology,No,Yes,No,No
LEAF HOLDINGS GROUP LLC,[Not Available],[Not Available],Leaf Holdings Group LLC is involved in investment and business development.,[Not Available],Investment & Business Development,No,Yes,No,No
LEAN YUNOVO TECHNOLOGY CO LTD,[Not Available],[Not Available],Lean Yunovo Technology Co Ltd focuses on technology development and solutions.,[Not Available],Technology,No,Yes,No,No
LEBANESE ARABIAN ALTERNATIVE THERAPEUTIC,[Not Available],[Not Available],Lebanese Arabian Alternative Therapeutic specializes in alternative and complementary medicine.,[Not Available],Alternative Medicine,No,Yes,No,No
LEDGER ASSETS PTY LTD,[Not Available],[Not Available],Ledger Assets Pty Ltd focuses on asset management and financial services.,[Not Available],Financial Services,No,Yes,No,No
LEEDARSON LIGHTING CO LTD,www.leedarson.com,"Shenzhen, China","Leedarson Lighting Co Ltd specializes in the research, development, and manufacturing of lighting products and solutions.",2000,Lighting,No,Yes,No,No
LEELOO MEDICAL GMBH,[Not Available],[Not Available],Leeloo Medical GmbH focuses on medical technologies and healthcare solutions.,[Not Available],Medical Technology,No,Yes,No,No
LEGACY US INC,[Not Available],[Not Available],Legacy US Inc is involved in various business sectors including technology and investment.,[Not Available],Technology & Investment,No,Yes,No,No
LEGEND BIOTECH USA INC,www.legendbiotech.com,"Somerset, NJ, USA",Legend Biotech USA Inc focuses on developing innovative cell and gene therapies for cancer treatment.,[Not Available],Biotechnology,No,Yes,Yes,No
LEIBNIZ INST NEUE MATERIALIEN GEMEINNUET,www.inm-gmbh.de,"SaarbrÃ¼cken, Germany",Leibniz Institute for New Materials (INM) focuses on the development of new materials for various applications.,2000,Research Institute,No,No,Yes,No
LEIBNIZ INST PHOTONISCHE TECHNOLOGIEN EV,www.ipht-fraunhofer.de,"Jena, Germany",Leibniz Institute of Photonic Technology (IPHT) specializes in photonic technologies and applications.,[Not Available],Research Institute,No,No,Yes,No
LEIBNIZ VIROLOGIE INST,[Not Available],[Not Available],Leibniz Institute of Virology focuses on virology research and related studies.,[Not Available],Research Institute,No,No,Yes,No
LEIDOS INC,www.leidos.com,"Reston, VA, USA","Leidos Inc provides solutions in defense, aviation, information technology, and biomedical research.",1969,Defense & Technology,No,Yes,No,No
LEIUTIS PHARM LLP,[Not Available],[Not Available],Leiutis Pharm LLP focuses on pharmaceutical development and research.,[Not Available],Pharmaceuticals,No,Yes,Yes,No
LELANTOS SRL,[Not Available],[Not Available],Lelantos SRL specializes in medical and biotechnology research and development.,[Not Available],Biotechnology,No,Yes,Yes,No
LEMBAGA PENELITIAN & PENGABDIAN KEPADA,[Not Available],[Not Available],Lembaga Penelitian & Pengabdian Kepada focuses on research and community service.,[Not Available],Research & Community Service,No,No,Yes,No
LEMON INC,[Not Available],[Not Available],Lemon Inc is involved in various technology and innovation sectors.,[Not Available],Technology & Innovation,No,Yes,No,No
LEONARDO SPA,www.leonardocompany.com,"Rome, Italy","Leonardo Spa specializes in aerospace, defense, and security solutions.",1948,Aerospace & Defense,No,Yes,No,No
LEONHARDT VENTURES LLC,[Not Available],[Not Available],Leonhardt Ventures LLC focuses on venture capital investments and business development.,[Not Available],Venture Capital,No,Yes,No,No
LEOPOLD GMBH,[Not Available],[Not Available],Leopold GmbH specializes in industrial and technological solutions.,[Not Available],Industrial & Technological Solutions,No,Yes,No,No
LEPU PHARM TECHNOLOGY CO LTD,www.lepu-medical.com,"Beijing, China","Lepu Pharmaceutical Technology Co Ltd focuses on medical devices, pharmaceuticals, and healthcare technologies.",1999,Medical Devices & Pharmaceuticals,No,Yes,No,No
LES BIOTECHNOLOGIES ULYSSE INC,[Not Available],[Not Available],Les Biotechnologies Ulysse Inc focuses on biotechnology research and product development.,[Not Available],Biotechnology,No,Yes,Yes,No
LES LAB SERVIER,[Not Available],[Not Available],Les Lab Servier is involved in pharmaceutical research and development.,[Not Available],Pharmaceuticals,No,Yes,Yes,No
LEVEL 42 AI INC,[Not Available],[Not Available],Level 42 AI Inc specializes in artificial intelligence and technology solutions.,[Not Available],Artificial Intelligence,No,Yes,No,No
LEVERAGEN INC,[Not Available],[Not Available],Leveragen Inc focuses on leveraging technology and investment opportunities.,[Not Available],Technology & Investment,No,Yes,No,No
LEVIER INC,[Not Available],[Not Available],"Levier Inc is involved in various sectors, including technology and business development.",[Not Available],Technology & Business Development,No,Yes,No,No
LEVIN PHARM CO LTD,[Not Available],[Not Available],Levin Pharm Co Ltd specializes in pharmaceutical research and development.,[Not Available],Pharmaceuticals,No,Yes,Yes,No
LEXICON PHARM INC,www.lexiconpharma.com,"The Woodlands, TX, USA",Lexicon Pharmaceuticals focuses on developing innovative therapies for diseases with unmet medical needs.,1995,Biotechnology,No,Yes,Yes,No
LEXISNEXIS RISK SOLUTIONS FL INC,www.lexisnexis.com,"Boca Raton, FL, USA",LexisNexis Risk Solutions provides risk management and data analytics solutions across various industries.,[Not Available],Risk Solutions & Data Analytics,No,Yes,No,No
LEYDEN LAB BV,www.leydenlabs.com,"Amsterdam, Netherlands",Leyden Labs focuses on developing innovative therapeutics for immune modulation and infectious diseases.,[Not Available],Biotechnology,No,Yes,Yes,No
LEYS PHARM CO LTD,[Not Available],[Not Available],Leys Pharm Co Ltd is involved in pharmaceutical development and manufacturing.,[Not Available],Pharmaceuticals,No,Yes,Yes,No
LG CHEM LTD,www.lgchem.com,"Seoul, South Korea","LG Chem Ltd is a global chemical company involved in the production of chemicals, batteries, and advanced materials.",1947,Chemicals & Materials,No,Yes,No,No
LG HOUSEHOLD & HEALTHCARE LTD,www.lghnh.com,"Seoul, South Korea","LG Household & Healthcare Ltd focuses on consumer goods, including home care, beauty, and health products.",1947,Consumer Goods,No,Yes,No,No
LG JAPAN LAB KK,[Not Available],"Tokyo, Japan",LG Japan Lab KK is involved in research and development in various technological fields.,[Not Available],Technology & Research,No,Yes,Yes,No
LHOTSE BIO INC,[Not Available],[Not Available],Lhotse Bio Inc specializes in biotechnology research and development.,[Not Available],Biotechnology,No,Yes,Yes,No
LIANBANG BIOTECHNOLOGY ZHUHAI HENGQIN CO LTD,[Not Available],"Zhuhai, China",Lianbang Biotechnology focuses on biotechnology research and development.,[Not Available],Biotechnology,No,Yes,Yes,No
LIANGAIXI SHANGHAI PHARM RES CENT LP,[Not Available],"Shanghai, China",Liangaixi Shanghai Pharmaceutical Research Center focuses on pharmaceutical research and development.,[Not Available],Pharmaceuticals,No,Yes,Yes,No
LIANGZHUN HANGZHOU SCI INSTR CO LTD,[Not Available],"Hangzhou, China",Liangzhun Hangzhou Scientific Instruments Co Ltd specializes in scientific and laboratory instruments.,[Not Available],Scientific Instruments,No,Yes,No,No
LIANGZHUN SHANGHAI MEDICAL DEVICES CO,[Not Available],"Shanghai, China",Liangzhun Shanghai Medical Devices Co focuses on the development and manufacturing of medical devices.,[Not Available],Medical Devices,No,Yes,No,No
LIANGZHUN WUHAN LIFE TECHNOLOGY CO LTD,[Not Available],"Wuhan, China",Liangzhun Wuhan Life Technology Co focuses on biotechnology and life sciences technology.,[Not Available],Biotechnology,No,Yes,Yes,No
LIANYUNGANG MATERNAL & CHILD HEALTH HOSP,[Not Available],"Lianyungang, China",Lianyungang Maternal & Child Health Hospital provides healthcare services for maternal and child health.,[Not Available],Healthcare,No,No,No,Yes
LIANYUNGANG ORIENTAL HOSPITAL,[Not Available],"Lianyungang, China",Lianyungang Oriental Hospital offers medical and healthcare services.,[Not Available],Healthcare,No,No,No,Yes
LIAOCHENG DONGCHANGFU MATERNAL & CHILD,[Not Available],"Liaocheng, China",Liaocheng Dongchangfu Maternal & Child Health Center provides maternal and child healthcare services.,[Not Available],Healthcare,No,No,No,Yes
LIAOCHENG HAISHBAO FURNITURE CO LTD,[Not Available],"Liaocheng, China",Liaocheng Haishbao Furniture Co Ltd specializes in furniture manufacturing.,[Not Available],Furniture,No,Yes,No,No
LIAONING CHENGDA BIOTECHNOLOGY CO LTD,[Not Available],"Liaoning, China",Liaoning Chengda Biotechnology Co Ltd focuses on biotechnology research and development.,[Not Available],Biotechnology,No,Yes,Yes,No
LIAONING JENKEM TECHNOLOGY LTD,[Not Available],"Liaoning, China",Liaoning Jenkem Technology specializes in the development and application of chemical technologies.,[Not Available],Chemical Technology,No,Yes,No,No
LIAONING YISHENG BIOPHARM CO LTD,[Not Available],"Liaoning, China",Liaoning Yisheng Biopharm focuses on biopharmaceutical research and development.,[Not Available],Biopharmaceuticals,No,Yes,Yes,No
LIATA PHARM HOLDINGS LLC,[Not Available],[Not Available],Liata Pharm Holdings focuses on pharmaceutical investments and operations.,[Not Available],Pharmaceuticals,No,Yes,No,No
LIBENTECH CO LTD,[Not Available],[Not Available],Libentech Co Ltd specializes in technology development and application.,[Not Available],Technology,No,Yes,No,No
LIBERDADE MOVIMENTOS UNIPESSOAL LTDA,[Not Available],[Not Available],"Liberdade Movimentos specializes in various business operations, including logistics and management.",[Not Available],Business Operations,No,Yes,No,No
LIBERTY BIOSECURITY LLC,[Not Available],[Not Available],Liberty Biosecurity focuses on biosecurity and safety solutions.,[Not Available],Biosecurity,No,Yes,No,No
LIBI PHARM LTD,[Not Available],[Not Available],LIBI Pharm Ltd engages in pharmaceutical research and development.,[Not Available],Pharmaceuticals,No,Yes,Yes,No
LIDI HANGZHOU PHARM TECHNOLOGY CO LTD,[Not Available],"Hangzhou, China",Lidi Hangzhou Pharmaceutical Technology specializes in pharmaceutical technology development.,[Not Available],Pharmaceutical Technology,No,Yes,Yes,No
LIFE PROTECTION KK,[Not Available],[Not Available],Life Protection KK focuses on health and safety technologies.,[Not Available],Health & Safety Technologies,No,Yes,No,No
LIFE SCI AS,[Not Available],[Not Available],Life Sci AS is involved in scientific research and technology.,[Not Available],Scientific Research,No,Yes,Yes,No
LIFE SCI BIOSENSOR DIAGNOSTICS PTY LTD,[Not Available],[Not Available],Life Sci Biosensor Diagnostics specializes in biosensor technologies for diagnostics.,[Not Available],Diagnostics & Biosensors,No,Yes,Yes,No
LIFE SUPPORT KK,[Not Available],[Not Available],Life Support KK focuses on technologies and solutions for life support systems.,[Not Available],Life Support Technologies,No,Yes,No,No
LIFE TECHNOLOGIES CORP,www.thermofisher.com,"Carlsbad, CA, USA","Life Technologies Corp, now part of Thermo Fisher Scientific, provides scientific research tools and technologies.",1983,Biotechnology,No,Yes,No,No
LIFE9 SYSTEMS PRIVATE LTD,[Not Available],[Not Available],Life9 Systems focuses on technology solutions for various applications.,[Not Available],Technology Solutions,No,Yes,No,No
LIFEACTIVUS PRIVATE LTD,[Not Available],[Not Available],Lifeactivus Private Ltd focuses on innovative solutions in the life sciences sector.,[Not Available],Life Sciences,No,Yes,Yes,No
LIFEEDIT INC,www.lifeedit.com,"Durham, NC, USA",LifeEdit Inc specializes in genome editing technologies and therapeutic applications.,[Not Available],Biotechnology,No,Yes,Yes,No
LIFEGENE XIAMEN TECHNOLOGY CO LTD,[Not Available],"Xiamen, China",LifeGene Xiamen Technology focuses on biotechnology and genetic research.,[Not Available],Biotechnology & Genetics,No,Yes,Yes,No
LIFESCIENCE AS,[Not Available],[Not Available],Lifescience AS specializes in life sciences research and technology.,[Not Available],Life Sciences,No,Yes,Yes,No
LIFEVAULT BIO INC,[Not Available],[Not Available],LifeVault Bio Inc focuses on biotechnological innovations and research.,[Not Available],Biotechnology,No,Yes,Yes,No
LIFT BIOSCIENCES LTD,www.liftbiosciences.com,"London, UK",Lift Biosciences Ltd focuses on developing immune system-based therapies.,[Not Available],Biotechnology,No,Yes,Yes,No
LIGAND PHARM INC,www.ligand.com,"San Diego, CA, USA",Ligand Pharmaceuticals is a biotechnology company that focuses on drug discovery and development.,1987,Biotechnology,No,Yes,No,No
LIGANDAL INC,[Not Available],[Not Available],Ligandal Inc specializes in drug delivery and biotechnology innovations.,[Not Available],Biotechnology,No,Yes,Yes,No
LIGHT AI INC,[Not Available],[Not Available],Light AI Inc focuses on artificial intelligence solutions and technologies.,[Not Available],Artificial Intelligence,No,Yes,No,No
LIGHTERA SRL,[Not Available],[Not Available],Lightera SRL specializes in technological and scientific research.,[Not Available],Technology & Science,No,Yes,Yes,No
LIGHTHOUSE PHARM INC,[Not Available],[Not Available],Lighthouse Pharm Inc focuses on pharmaceutical research and development.,[Not Available],Pharmaceuticals,No,Yes,Yes,No
LIGHTSENSE TECHNOLOGY INC,[Not Available],[Not Available],Lightsense Technology Inc specializes in sensing technologies and applications.,[Not Available],Technology,No,Yes,No,No
LIH LUXEMBOURG INST HEALTH,www.lih.lu,Luxembourg,LIH Luxembourg Institute of Health focuses on biomedical research and innovation.,2009,Biomedical Research,No,No,Yes,No
LIITA CARE APS,[Not Available],[Not Available],Liita Care APS specializes in healthcare solutions and technologies.,[Not Available],Healthcare,No,Yes,No,No
LIKO RES & DEV AB,[Not Available],[Not Available],Liko Res & Dev AB focuses on research and development in various technological fields.,[Not Available],Technology & Research,No,Yes,Yes,No
LILE METHOD RES LLC,[Not Available],[Not Available],Lile Method Res LLC specializes in research methodologies and innovations.,[Not Available],Research & Development,No,Yes,Yes,No
LILLY & CO ELI,www.lilly.com,"Indianapolis, IN, USA",Eli Lilly and Company is a global pharmaceutical company known for its research and development in various therapeutic areas.,1876,Pharmaceuticals,No,Yes,No,No
LINA M LLC,[Not Available],[Not Available],Lina M LLC specializes in various business and technology solutions.,[Not Available],Business & Technology,No,Yes,No,No
LINEAGE CELL THERAPEUTICS INC,www.lineagecell.com,"Carlsbad, CA, USA",Lineage Cell Therapeutics is focused on developing regenerative medicine and cell therapies.,1988,Regenerative Medicine,No,Yes,Yes,No
LINGANG LAB,[Not Available],[Not Available],Lingang Lab focuses on scientific and technological research and development.,[Not Available],Scientific Research,No,Yes,Yes,No
LINGAYAS VIDYAPEETH,www.lingayasvidyapeeth.edu.in,"Faridabad, India",Lingayas Vidyapeeth is a private university offering various undergraduate and postgraduate programs.,2009,Education,No,No,Yes,No
LINGDI ANIMAL DIAGNOSIS & TREATMENT TECH,[Not Available],[Not Available],Lingdi specializes in animal diagnosis and treatment technologies.,[Not Available],Veterinary Technology,No,Yes,No,No
LINGHANG MEDICAL TECHNOLOGY SHENZHEN CO LTD,[Not Available],"Shenzhen, China",Linghang Medical Technology focuses on medical technology and device development.,[Not Available],Medical Technology,No,Yes,No,No
LINGNAN TECHNOLOGY INST,[Not Available],[Not Available],Lingnan Technology Institute focuses on research and development in technology.,[Not Available],Technology Research,No,No,Yes,No
LINKFACE CO LTD,[Not Available],[Not Available],Linkface Co Ltd specializes in technological solutions and applications.,[Not Available],Technology,No,Yes,No,No
LINTEC21 CO LTD,[Not Available],[Not Available],Lintec21 Co Ltd focuses on technology and industrial solutions.,[Not Available],Industrial Technology,No,Yes,No,No
LINYING PEOPLES HOSPITAL,[Not Available],"Linying, China",Linying People's Hospital is a medical institution providing healthcare services in the Linying region.,[Not Available],Healthcare,No,No,No,Yes
LION CORP,[Not Available],[Not Available],Lion Corp focuses on various industrial and consumer products.,[Not Available],Manufacturing & Consumer Goods,No,Yes,No,No
LIPID PHARM EHF,[Not Available],[Not Available],Lipid Pharm EHF specializes in pharmaceutical research and development related to lipids.,[Not Available],Pharmaceuticals,No,Yes,Yes,No
LIPOCINE INC,www.lipocine.com,"Salt Lake City, UT, USA",Lipocine Inc is a biopharmaceutical company focused on developing treatments for metabolic and hormonal diseases.,2011,Biopharmaceuticals,No,Yes,No,No
LIQUID BIOPSY RES LLC,[Not Available],[Not Available],Liquid Biopsy Res LLC specializes in research and development of liquid biopsy technologies.,[Not Available],Biotechnology,No,Yes,Yes,No
LISEN IMPRINTING DIAGNOSTIC TECHNOLOGY,[Not Available],[Not Available],Lisen Imprinting Diagnostic Technology focuses on diagnostic technologies and imprinting methods.,[Not Available],Diagnostics,No,Yes,No,No
LISHUI FEITIANREN MECHANICAL DESIGN CO,[Not Available],"Lishui, China",Lishui Feitianren specializes in mechanical design and engineering services.,[Not Available],Engineering,No,Yes,No,No
LISHUI PEOPLE'S HOSPITAL,[Not Available],"Lishui, China",Lishui People's Hospital provides comprehensive healthcare services in the Lishui region.,[Not Available],Healthcare,No,No,No,Yes
LISHUI ZHIKEHUI INFORMATION SERVICE CO,[Not Available],"Lishui, China","Lishui Zhikehui provides information and data services, particularly in the technology sector.",[Not Available],Information Services,No,Yes,No,No
LITTLEONE INC,[Not Available],[Not Available],Littleone Inc specializes in products and services for children and families.,[Not Available],Consumer Goods,No,Yes,No,No
LIUZHOU LIUTIE CENT HOSPITAL,[Not Available],"Liuzhou, China",Liuzhou Liutie Central Hospital provides healthcare services to the Liuzhou community.,[Not Available],Healthcare,No,No,No,Yes
LIUZHOU MATERNITY & CHILD HEALTHCARE HOS,[Not Available],"Liuzhou, China",Liuzhou Maternity & Child Healthcare Hospital specializes in maternal and child healthcare services.,[Not Available],Healthcare,No,No,No,Yes
LIUZHOU TRADITIONAL CHINESE MEDICAL HOSP,[Not Available],"Liuzhou, China",Liuzhou Traditional Chinese Medical Hospital provides traditional Chinese medicine services.,[Not Available],Healthcare,No,No,No,Yes
LIVE PIGS TECHNOLOGY INNOVATION CENT,[Not Available],[Not Available],Live Pigs Technology Innovation Center focuses on technologies and innovations related to pig farming and livestock management.,[Not Available],Agriculture Technology,No,Yes,Yes,No
LIVERNA THERAPEUTICS INC,www.liverna.com,[Not Available],Liverna Therapeutics Inc is focused on developing novel therapeutics for liver diseases.,[Not Available],Biopharmaceuticals,No,Yes,No,No
LIVING TECHNOLOGIES CVBA,[Not Available],[Not Available],Living Technologies CVBA focuses on innovative technology solutions and services.,[Not Available],Technology,No,Yes,No,No
LIVINGMED BIOTECH SRL,[Not Available],[Not Available],LivingMed Biotech SRL specializes in biotechnological innovations and medical solutions.,[Not Available],Biotechnology,No,Yes,Yes,No
LIVINGUARD AG,www.livinguard.com,Switzerland,Livinguard AG focuses on innovative antimicrobial technologies for textiles and surfaces.,[Not Available],Technology & Healthcare,No,Yes,No,No
LIVIONEX INC,[Not Available],[Not Available],Livionex Inc specializes in biotechnology and medical technology solutions.,[Not Available],Biotechnology,No,Yes,No,No
